"player_name","team","gp","min_mpg","orpm","orpm_percentile","drpm","drpm_percentile","rpm","rpm_percentile","wins","wins_percentile","wins_value","wins_value_percentile","salary","salary_percentile","salary_surplus","salary_surplus_percentile","surplus","value"
"Carsen Edwards, PG",BOS,35,9,-1.05,0.7545045045,-0.52,0.6779279279,-1.57,0.8085585586,-0.12,0.7635135135,-326243.6194,0.7635135135,1228026,0.9054054054,985196,0.9054054054,-1311439.619,0.3671171171
"Tyson Chandler, C",HOU,26,8.4,-1.04,0.7454954955,-0.08,0.4324324324,-1.12,0.6801801802,-0.01,0.6734234234,-27186.96828,0.6734234234,1620564,0.7297297297,1300113.492,0.7297297297,-1327300.46,0.3693693694
"Jordan Bell, F",MIN/MEM,29,8.8,-0.17,0.4189189189,-0.91,0.8333333333,-1.08,0.6599099099,-0.01,0.6734234234,-27186.96828,0.6734234234,1620564,0.7297297297,1300113.492,0.7297297297,-1327300.46,0.3693693694
"Tyrone Wallace, SG",ATL,14,11.4,-0.64,0.5788288288,-0.61,0.7252252252,-1.25,0.7297297297,-0.02,0.7027027027,-54373.93657,0.7027027027,1588231,0.8130630631,1274174.023,0.8130630631,-1328547.959,0.3738738739
"Jonah Bolden, PF",PHI/PHX,7,6.7,-0.84,0.6621621622,-0.26,0.509009009,-1.1,0.6711711712,0,0.6396396396,0,0.6396396396,1698450,0.704954955,1362598.305,0.704954955,-1362598.305,0.3761261261
"Terance Mann, SG",LAC,35,7.7,-1.08,0.7635135135,-1.11,0.8783783784,-2.2,0.9369369369,-0.21,0.7995495495,-570926.334,0.7995495495,1000000,0.9121621622,802259.887,0.9121621622,-1373186.221,0.3783783784
"Keldon Johnson, SF",SA,9,10.2,0.3,0.2927927928,-0.26,0.509009009,0.04,0.3513513514,0.07,0.5855855856,190308.778,0.5855855856,1950600,0.6734234234,1564888.136,0.6734234234,-1374579.358,0.3806306306
"Raul Neto, PG",PHI,49,11.5,-1.07,0.7612612613,-0.03,0.4121621622,-1.1,0.6711711712,-0.03,0.7117117117,-81560.90485,0.7117117117,1620564,0.7297297297,1300113.492,0.7297297297,-1381674.396,0.3828828829
"Robert Williams III, C",BOS,23,14,-0.74,0.6238738739,0.01,0.3896396396,-0.74,0.5765765766,0.06,0.5878378378,163121.8097,0.5878378378,1937520,0.6779279279,1554394.576,0.6779279279,-1391272.767,0.3851351351
"Lonnie Walker IV, SG",SA,53,14.5,-0.01,0.3513513514,-0.48,0.6396396396,-0.49,0.5045045045,0.28,0.4887387387,761235.112,0.4887387387,2689920,0.5698198198,2158014.915,0.5698198198,-1396779.803,0.3873873874
"Chandler Hutchison, SF",CHI,28,18.8,0.59,0.222972973,-1.15,0.8828828829,-0.57,0.5112612613,0.17,0.5382882883,462178.4608,0.5382882883,2332320,0.6171171171,1871126.78,0.6171171171,-1408948.319,0.3896396396
"Robert Covington, PF",HOU/MIN,62,30.1,0.4,0.2612612613,0.76,0.1576576577,1.16,0.1328828829,2.8,0.09009009009,7612351.12,0.09009009009,11301219,0.2364864865,9066514.678,0.2364864865,-1454163.558,0.3918918919
"Rajon Rondo, PG",LAL,48,20.5,-0.02,0.3626126126,-0.67,0.7545045045,-0.69,0.5608108108,0.22,0.5225225225,598113.3023,0.5225225225,2564753,0.5900900901,2057598.452,0.5900900901,-1459485.15,0.3941441441
"Thabo Sefolosha, SF",HOU,41,10.6,-0.87,0.6779279279,-0.37,0.5608108108,-1.24,0.7184684685,-0.06,0.75,-163121.8097,0.75,1620564,0.7297297297,1300113.492,0.7297297297,-1463235.301,0.3963963964
"Edmond Sumner, PG",IND,25,13.8,-0.03,0.3693693694,-0.84,0.8198198198,-0.87,0.6013513514,0.04,0.6013513514,108747.8731,0.6013513514,2000000,0.6554054054,1604519.774,0.6554054054,-1495771.901,0.3986486486
"Jahlil Okafor, C",NO,28,15.1,-0.25,0.4504504505,-0.94,0.8468468468,-1.19,0.704954955,-0.05,0.7432432432,-135934.8414,0.7432432432,1702486,0.7004504505,1365836.226,0.7004504505,-1501771.067,0.4009009009
"Dzanan Musa, SG",BKN,35,11.5,0.17,0.3130630631,-1.15,0.8828828829,-0.99,0.6373873874,0.01,0.6306306306,27186.96828,0.6306306306,1911600,0.6824324324,1533600,0.6824324324,-1506413.032,0.4031531532
"Joe Harris, SF",BKN,63,30.9,-0.03,0.3693693694,0.28,0.2815315315,0.25,0.3108108108,1.7,0.1801801802,4621784.608,0.1801801802,7666667,0.3355855856,6150659.401,0.3355855856,-1528874.793,0.4054054054
"Mfiondu Kabengele, PF",LAC,12,5.3,0.38,0.2702702703,-0.78,0.7995495495,-0.4,0.4774774775,0.02,0.6171171171,54373.93657,0.6171171171,1977000,0.6644144144,1586067.797,0.6644144144,-1531693.86,0.4076576577
"Wenyen Gabriel, PF",POR/SAC,28,7.5,-1.26,0.8423423423,-0.73,0.7792792793,-1.98,0.9054054054,-0.14,0.768018018,-380617.556,0.768018018,1445697,0.8333333333,1159824.712,0.8333333333,-1540442.268,0.4099099099
"Isaiah Thomas, PG",WSH,40,23.1,1.61,0.09234234234,-2.78,0.9932432432,-1.17,0.6959459459,-0.09,0.7522522523,-244682.7146,0.7522522523,1620564,0.7297297297,1300113.492,0.7297297297,-1544796.206,0.4121621622
"Noah Vonleh, PF",DEN/MIN,33,11,-1.12,0.795045045,0.18,0.3243243243,-0.94,0.6261261261,0.02,0.6171171171,54373.93657,0.6171171171,2000000,0.6554054054,1604519.774,0.6554054054,-1550145.837,0.4144144144
"Derrick Walton Jr., G",DET/LAC,26,9.5,-1.3,0.8581081081,-0.64,0.7342342342,-1.94,0.8941441441,-0.15,0.7725225225,-407804.5243,0.7725225225,1445697,0.8333333333,1159824.712,0.8333333333,-1567629.236,0.4166666667
"Kenrich Williams, SG",NO,35,22.3,-1.72,0.9279279279,0.39,0.240990991,-1.33,0.7522522523,-0.16,0.7815315315,-434991.4926,0.7815315315,1416852,0.8468468468,1136683.525,0.8468468468,-1571675.018,0.4189189189
"Derrick Rose, PG",DET,50,26,1.88,0.08108108108,-1.08,0.8716216216,0.8,0.1756756757,1.57,0.2094594595,4268354.021,0.2094594595,7317073,0.3445945946,5870194.158,0.3445945946,-1601840.138,0.4211711712
"Wes Iwundu, SF",ORL,45,18,-1.59,0.9076576577,0.34,0.2567567568,-1.24,0.7184684685,-0.12,0.7635135135,-326243.6194,0.7635135135,1618420,0.8085585586,1298393.446,0.8085585586,-1624637.066,0.4234234234
"Torrey Craig, SF",DEN,50,17.4,-0.74,0.6238738739,-0.35,0.5427927928,-1.08,0.6599099099,-0.03,0.7117117117,-81560.90485,0.7117117117,2000000,0.6554054054,1604519.774,0.6554054054,-1686080.679,0.4256756757
"Semi Ojeleye, PF",BOS,61,14.6,-2.28,0.9684684685,1,0.1013513514,-1.28,0.7387387387,-0.15,0.7725225225,-407804.5243,0.7725225225,1618520,0.7905405405,1298473.672,0.7905405405,-1706278.197,0.4279279279
"Tim Frazier, PG",DET,27,13.1,-1.21,0.8198198198,-0.46,0.6261261261,-1.67,0.8468468468,-0.15,0.7725225225,-407804.5243,0.7725225225,1620564,0.7297297297,1300113.492,0.7297297297,-1707918.016,0.4301801802
"Monte Morris, PG",DEN,65,21.6,-0.64,0.5788288288,-0.57,0.704954955,-1.21,0.7117117117,-0.16,0.7815315315,-434991.4926,0.7815315315,1588231,0.8130630631,1274174.023,0.8130630631,-1709165.515,0.4324324324
"Boban Marjanovic, C",DAL,37,9.1,0.69,0.204954955,0.03,0.3806306306,0.72,0.1891891892,0.39,0.4324324324,1060291.763,0.4324324324,3500000,0.5112612613,2807909.605,0.5112612613,-1747617.841,0.4346846847
"Ante Zizic, C",CLE,22,10,-0.62,0.5608108108,-0.27,0.5157657658,-0.89,0.6081081081,0.02,0.6171171171,54373.93657,0.6171171171,2281800,0.6283783784,1830596.61,0.6283783784,-1776222.674,0.4369369369
"Dwayne Bacon, SG",CHA,39,17.6,-1.5,0.8963963964,0.08,0.3603603604,-1.43,0.7837837838,-0.18,0.7905405405,-489365.4291,0.7905405405,1618520,0.7905405405,1298473.672,0.7905405405,-1787839.101,0.4391891892
"George Hill, PG",MIL,52,21.2,1.89,0.07882882883,-0.22,0.490990991,1.67,0.09009009009,2.03,0.1463963964,5518954.562,0.1463963964,9133907,0.286036036,7327767.198,0.286036036,-1808812.636,0.4414414414
"T.J. McConnell, PG",IND,63,18.9,-0.53,0.536036036,-0.04,0.4189189189,-0.57,0.5112612613,0.36,0.4436936937,978730.8582,0.4436936937,3500000,0.5112612613,2807909.605,0.5112612613,-1829178.746,0.4436936937
"Quinn Cook, PG",LAL,38,10.8,0.06,0.3378378378,-0.32,0.536036036,-0.27,0.4369369369,0.21,0.527027027,570926.334,0.527027027,3000000,0.5427927928,2406779.661,0.5427927928,-1835853.327,0.4459459459
"JaVale McGee, C",LAL,61,16.8,-1.25,0.8378378378,0.93,0.1216216216,-0.32,0.4504504505,0.49,0.4099099099,1332161.446,0.4099099099,4000000,0.4707207207,3209039.548,0.4707207207,-1876878.102,0.4481981982
"Jared Dudley, SF",LAL,40,7.8,-2.38,0.981981982,0.28,0.2815315315,-2.1,0.9211711712,-0.22,0.8108108108,-598113.3023,0.8108108108,1620564,0.7297297297,1300113.492,0.7297297297,-1898226.794,0.4504504505
